# List of first names and gender from ftp://ftp.heise.de/pub/ct/listings/0717-182.zip
# Copyright (c): 2007-2008: Jörg MICHAEL, Adalbert-Stifter-Str. 11, 30655 Hannover, Germany
# License: GFDL-1.2-or-later
###########################################################################################
Ada;Great Britain:F:5,U.S.A.:F:2,Italy:F:6,France:F:1,Belgium:F:1,Luxembourg:F:1,the Netherlands:F:4,East Frisia:F:2,Swiss:F:2,Norway:F:1,Latvia:F:1,Romania:F:3,Albania:F:4,Moldova:F:3,Azerbaijan:F:4,Israel:F:6;
Adair;Great Britain:?M:1;
Adakras;Lithuania:M:1;
Adalbert;East Frisia:M:3,Germany:M:2,Austria:M:3,Swiss:M:1,Romania:M:2;
Adalberta;Italy:F:1,Austria:F:1;
Adalberto;Italy:M:2,Portugal:M:2,Spain:M:1;
Aðalbjörg;Iceland:F:5;
Aðalbjörn;Iceland:M:3;
Adalciza;Romania:F:1;
Adalet;Azerbaijan:F:2,Turkey:F:3;
Aðalgeir;Iceland:M:2;
Adalgira;Portugal:F:1;
Adalgisa;Italy:F:3,Portugal:F:1;
Adalgiso;Italy:M:1;
Aðalheiður;Iceland:F:7;
Adalmiina;Finland:F:1;
Aðalsteinn;Iceland:M:6;
Adam;Great Britain:M:5,Ireland:M:3,U.S.A.:M:6,East Frisia:M:3,Germany:M:2,Austria:M:3,Swiss:M:1,Iceland:M:3,Denmark:M:3,Sweden:M:3,Poland:M:8,Czech Republic:M:3,Slovakia:M:4,Romania:M:2,Bosnia and Herzegovina:M:3,Greece:M:2,Israel:M:4;
Ádám;Hungary:M:4;
Adama;Italy:F:1,France:?M:1;
Adamantia;Greece:F:4;
Adamantini;Greece:F:1;
Adamantios;Greece:M:2;
Adamira;Bosnia and Herzegovina:F:1;
Adamo;Italy:M:3,Swiss:M:1;
Adan;U.S.A.:M:1;
Adán;Spain:M:1;
Adaniel;Romania:M:1;
Adão;Portugal:M:2;
Adar;Israel:M:1;
Adarsh;India:?:2,Sri Lanka:?:2;
